,y_true,y_pred
0,mel,mel
1,nv,nv
2,mel,nv
3,bkl,bkl
4,nv,nv
5,nv,bkl
6,nv,nv
7,nv,nv
8,mel,mel
9,nv,nv
10,bkl,nv
11,bkl,nv
12,mel,nv
13,nv,nv
14,bkl,bkl
15,nv,nv
16,nv,nv
17,nv,nv
18,mel,nv
19,nv,nv
20,nv,nv
21,nv,nv
22,mel,nv
23,bcc,bcc
24,nv,nv
25,bkl,bcc
26,nv,nv
27,mel,nv
28,nv,nv
29,nv,nv
30,nv,nv
31,nv,nv
32,nv,nv
33,bcc,bkl
34,akiec,bkl
35,bcc,akiec
36,bkl,nv
37,nv,nv
38,nv,nv
39,mel,mel
40,nv,nv
41,nv,nv
42,mel,nv
43,nv,nv
44,bcc,bcc
45,nv,nv
46,nv,nv
47,nv,nv
48,nv,nv
49,nv,nv
50,bcc,akiec
51,bkl,nv
52,df,nv
53,nv,nv
54,nv,nv
55,nv,nv
56,nv,nv
57,nv,nv
58,akiec,bcc
59,mel,nv
60,bkl,nv
61,bkl,nv
62,mel,mel
63,akiec,akiec
64,bkl,nv
65,nv,nv
66,nv,nv
67,vasc,bkl
68,nv,mel
69,nv,nv
70,nv,nv
71,nv,nv
72,nv,nv
73,vasc,nv
74,bkl,bcc
75,mel,nv
76,nv,nv
77,nv,nv
78,akiec,nv
79,nv,nv
80,nv,nv
81,nv,nv
82,mel,nv
83,nv,nv
84,bcc,nv
85,nv,nv
86,nv,nv
87,nv,nv
88,nv,nv
89,nv,nv
90,nv,nv
91,nv,mel
92,bcc,nv
93,nv,nv
94,mel,mel
95,nv,nv
96,mel,nv
97,nv,nv
98,bkl,bkl
99,nv,nv
100,akiec,nv
101,nv,nv
102,nv,nv
103,nv,nv
104,mel,bcc
105,mel,bkl
106,nv,nv
107,nv,nv
108,bkl,nv
109,bkl,nv
110,nv,mel
111,nv,nv
112,mel,bkl
113,nv,nv
114,nv,nv
115,mel,mel
116,mel,bkl
117,bcc,bkl
118,mel,bkl
119,bkl,mel
120,nv,nv
121,akiec,akiec
122,akiec,nv
123,nv,nv
124,mel,mel
125,nv,nv
126,nv,nv
127,nv,nv
128,bkl,nv
129,nv,nv
130,nv,nv
131,nv,nv
132,nv,mel
133,mel,nv
134,nv,nv
135,nv,mel
136,bcc,bkl
137,nv,nv
138,nv,nv
139,nv,nv
140,nv,nv
141,nv,nv
142,nv,nv
143,nv,nv
144,nv,mel
145,nv,mel
146,nv,nv
147,bkl,nv
148,nv,nv
149,mel,mel
150,nv,nv
151,bkl,bkl
152,nv,nv
153,nv,nv
154,bkl,mel
155,nv,nv
156,nv,nv
157,mel,bcc
158,nv,akiec
159,nv,nv
160,nv,nv
161,df,akiec
162,akiec,akiec
163,nv,nv
164,nv,nv
165,nv,nv
166,df,nv
167,nv,nv
168,bkl,bkl
169,nv,nv
170,nv,nv
171,bkl,bkl
172,nv,nv
173,bkl,bkl
174,nv,nv
175,vasc,nv
176,bkl,bkl
177,nv,nv
178,nv,nv
179,bcc,nv
180,nv,nv
181,nv,nv
182,bkl,mel
183,nv,nv
184,nv,nv
185,nv,nv
186,nv,bcc
187,nv,nv
188,nv,nv
189,nv,nv
190,nv,nv
191,bkl,akiec
192,mel,nv
193,bcc,nv
194,nv,nv
195,nv,nv
196,nv,nv
197,nv,mel
198,nv,nv
199,mel,nv
200,bkl,bkl
201,akiec,bkl
202,nv,nv
203,nv,nv
204,nv,nv
205,bkl,nv
206,bkl,bkl
207,nv,nv
208,nv,nv
209,nv,nv
210,nv,nv
211,nv,nv
212,nv,nv
213,nv,nv
214,nv,nv
215,bcc,akiec
216,nv,nv
217,nv,nv
218,nv,nv
219,df,nv
220,nv,nv
221,nv,nv
222,nv,nv
223,nv,nv
224,nv,nv
225,nv,nv
226,bkl,nv
227,nv,nv
228,nv,nv
229,nv,nv
230,mel,nv
231,nv,nv
232,akiec,bcc
233,nv,bkl
234,nv,nv
235,nv,nv
236,nv,nv
237,nv,nv
238,nv,nv
239,bkl,nv
240,vasc,nv
241,bcc,bkl
242,mel,nv
243,nv,nv
244,nv,nv
245,nv,nv
246,vasc,nv
247,nv,nv
248,nv,nv
249,nv,nv
250,nv,nv
251,nv,nv
252,mel,nv
253,nv,nv
254,nv,bkl
255,nv,nv
256,mel,nv
257,mel,nv
258,nv,bkl
259,bkl,nv
260,bkl,bkl
261,nv,nv
262,nv,bcc
263,nv,nv
264,bcc,bkl
265,nv,nv
266,mel,nv
267,nv,bcc
268,nv,nv
269,df,akiec
270,nv,nv
271,nv,nv
272,bkl,nv
273,nv,nv
274,mel,bkl
275,nv,nv
276,nv,nv
277,nv,nv
278,nv,nv
279,nv,mel
280,nv,nv
281,mel,nv
282,bkl,mel
283,akiec,bkl
284,bkl,akiec
285,nv,nv
286,nv,nv
287,nv,nv
288,mel,nv
289,bkl,nv
290,nv,nv
291,vasc,mel
292,nv,nv
293,nv,nv
294,nv,nv
295,nv,nv
296,nv,nv
297,bcc,bcc
298,nv,nv
299,nv,nv
300,nv,nv
301,nv,nv
302,nv,nv
303,nv,mel
304,nv,nv
305,akiec,nv
306,mel,nv
307,nv,nv
308,nv,nv
309,mel,nv
310,nv,nv
311,nv,nv
312,bkl,nv
313,nv,nv
314,bcc,bcc
315,nv,nv
316,nv,nv
317,nv,nv
318,nv,nv
319,nv,nv
320,nv,nv
321,nv,nv
322,bkl,nv
323,mel,mel
324,nv,nv
325,nv,nv
326,nv,nv
327,bcc,bcc
328,bcc,bcc
329,mel,mel
330,nv,nv
331,nv,nv
332,nv,nv
333,nv,nv
334,nv,nv
335,bkl,nv
336,nv,nv
337,nv,nv
338,nv,nv
339,mel,mel
340,nv,nv
341,nv,nv
342,nv,bcc
343,nv,nv
344,bkl,bkl
345,akiec,nv
346,nv,nv
347,bcc,nv
348,mel,nv
349,bcc,nv
350,akiec,akiec
351,bkl,nv
352,nv,nv
353,mel,mel
354,mel,nv
355,nv,nv
356,nv,nv
357,mel,nv
358,vasc,nv
359,nv,nv
360,vasc,nv
361,nv,mel
362,mel,bcc
363,nv,nv
364,nv,nv
365,mel,nv
366,mel,mel
367,nv,mel
368,nv,nv
369,nv,nv
370,mel,nv
371,nv,nv
372,bcc,bkl
373,nv,nv
374,bkl,akiec
375,nv,nv
376,nv,nv
377,nv,nv
378,nv,nv
379,nv,nv
380,nv,nv
381,bkl,nv
382,mel,bkl
383,akiec,nv
384,nv,nv
385,mel,nv
386,nv,nv
387,nv,nv
388,nv,nv
389,mel,mel
390,nv,nv
391,nv,nv
392,bkl,bkl
393,nv,nv
394,nv,nv
395,nv,nv
396,nv,nv
397,nv,nv
398,nv,akiec
399,nv,nv
400,nv,nv
401,akiec,bcc
402,nv,nv
403,bkl,nv
404,akiec,nv
405,nv,nv
406,nv,bcc
407,akiec,bcc
408,nv,nv
409,nv,nv
410,bkl,nv
411,akiec,nv
412,bcc,bcc
413,nv,nv
414,bcc,bcc
415,bcc,bkl
416,nv,nv
417,mel,mel
418,nv,nv
419,nv,nv
420,bkl,bkl
421,mel,nv
422,bcc,nv
423,mel,nv
424,nv,nv
425,nv,nv
426,nv,nv
427,bkl,nv
428,df,nv
429,mel,nv
430,bcc,nv
431,nv,nv
432,df,nv
433,nv,nv
434,mel,nv
435,nv,nv
436,nv,bcc
437,bkl,bkl
438,nv,nv
439,nv,nv
440,nv,nv
441,nv,nv
442,bkl,nv
443,bkl,nv
444,nv,nv
445,bkl,akiec
446,nv,nv
447,nv,nv
448,nv,nv
449,nv,nv
450,nv,nv
451,bkl,nv
452,nv,nv
453,nv,mel
454,nv,mel
455,nv,nv
456,nv,nv
457,nv,nv
458,nv,nv
459,nv,nv
460,akiec,mel
461,nv,nv
462,nv,nv
463,nv,nv
464,bcc,bcc
465,nv,nv
466,bkl,nv
467,nv,nv
468,nv,nv
469,bkl,nv
470,bkl,nv
471,mel,nv
472,nv,mel
473,nv,nv
474,nv,nv
475,bkl,bkl
476,nv,nv
477,mel,mel
478,vasc,nv
479,nv,nv
480,nv,nv
481,nv,nv
482,bkl,mel
483,mel,nv
484,nv,nv
485,bcc,akiec
486,bkl,nv
487,nv,nv
488,nv,nv
489,nv,nv
490,nv,nv
491,nv,nv
492,bkl,bcc
493,nv,nv
494,nv,nv
495,mel,mel
496,nv,nv
497,nv,nv
498,nv,nv
499,bkl,bkl
500,bcc,nv
501,bkl,bcc
502,nv,nv
503,bcc,nv
504,nv,nv
505,nv,nv
506,nv,nv
507,nv,nv
508,nv,nv
509,df,nv
510,nv,nv
511,nv,nv
512,nv,nv
513,nv,nv
514,nv,nv
515,nv,nv
516,nv,nv
517,bkl,nv
518,nv,nv
519,nv,nv
520,nv,nv
521,nv,nv
522,nv,nv
523,nv,nv
524,akiec,nv
525,bkl,akiec
526,nv,nv
527,nv,nv
528,bcc,nv
529,nv,nv
530,mel,bkl
531,bkl,nv
532,nv,nv
533,bkl,bkl
534,mel,mel
535,bkl,nv
536,vasc,nv
537,nv,nv
538,nv,nv
539,df,nv
540,nv,nv
541,nv,nv
542,nv,nv
543,nv,nv
544,nv,nv
545,nv,nv
546,mel,bkl
547,nv,nv
548,nv,nv
549,nv,nv
550,nv,nv
551,mel,mel
552,mel,mel
553,nv,nv
554,nv,mel
555,nv,nv
556,bcc,bcc
557,nv,nv
558,nv,nv
559,nv,nv
560,nv,nv
561,nv,nv
562,bcc,bcc
563,mel,mel
564,nv,nv
565,nv,nv
566,akiec,nv
567,nv,nv
568,nv,nv
569,mel,mel
570,nv,nv
571,nv,nv
572,bkl,nv
573,nv,nv
574,nv,nv
575,nv,nv
576,bkl,nv
577,nv,nv
578,mel,mel
579,nv,nv
580,akiec,akiec
581,nv,nv
582,nv,nv
583,nv,nv
584,nv,nv
585,nv,nv
586,nv,nv
587,nv,nv
588,nv,nv
589,nv,nv
590,nv,nv
591,nv,nv
592,nv,bkl
593,nv,mel
594,nv,nv
595,nv,nv
596,nv,nv
597,nv,nv
598,akiec,bcc
599,nv,nv
600,bkl,bkl
601,nv,mel
602,nv,nv
603,nv,nv
604,bkl,vasc
605,nv,nv
606,bkl,nv
607,bkl,nv
608,bkl,bkl
609,nv,nv
610,nv,nv
611,nv,nv
612,bkl,akiec
613,nv,nv
614,mel,nv
615,nv,nv
616,bkl,nv
617,nv,nv
618,bkl,bkl
619,bkl,nv
620,nv,nv
621,nv,nv
622,bkl,bkl
623,nv,nv
624,nv,nv
625,mel,nv
626,nv,nv
627,mel,bkl
628,nv,nv
629,nv,nv
630,nv,nv
631,bkl,bkl
632,nv,nv
633,nv,nv
634,nv,nv
635,nv,nv
636,bkl,nv
637,nv,nv
638,nv,nv
639,akiec,nv
640,nv,mel
641,nv,nv
642,mel,bkl
643,nv,nv
644,nv,nv
645,nv,nv
646,nv,nv
647,bkl,nv
648,nv,nv
649,nv,nv
650,nv,nv
651,nv,nv
652,nv,nv
653,mel,bkl
654,bcc,nv
655,bcc,bkl
656,nv,nv
657,bkl,mel
658,nv,nv
659,nv,nv
660,nv,mel
661,nv,nv
662,nv,nv
663,bkl,bkl
664,nv,bcc
665,nv,bkl
666,nv,nv
667,bkl,mel
668,nv,nv
669,bcc,nv
670,mel,nv
671,nv,nv
672,mel,nv
673,bkl,bkl
674,nv,nv
675,nv,nv
676,mel,nv
677,nv,nv
678,nv,akiec
679,nv,nv
680,nv,nv
681,vasc,nv
682,nv,nv
683,nv,nv
684,nv,nv
685,nv,nv
686,nv,nv
687,nv,mel
688,bkl,bcc
689,nv,nv
690,df,bkl
691,nv,nv
692,nv,nv
693,df,bkl
694,bkl,mel
695,bkl,bkl
696,nv,nv
697,nv,nv
698,nv,nv
699,akiec,nv
700,nv,nv
701,mel,nv
702,mel,nv
703,nv,nv
704,nv,nv
705,nv,nv
706,nv,nv
707,mel,nv
708,nv,nv
709,nv,nv
710,nv,nv
711,nv,nv
712,nv,nv
713,nv,nv
714,nv,nv
715,nv,nv
716,akiec,nv
717,df,nv
718,vasc,nv
719,bkl,nv
720,nv,nv
721,bkl,bkl
722,nv,nv
723,nv,nv
724,mel,nv
725,nv,nv
726,nv,nv
727,nv,nv
728,nv,nv
729,nv,nv
730,nv,nv
731,bkl,nv
732,mel,nv
733,nv,nv
734,nv,nv
735,nv,nv
736,mel,nv
737,bkl,nv
738,mel,nv
739,nv,nv
740,nv,nv
741,nv,nv
742,nv,nv
743,nv,nv
744,nv,nv
745,nv,nv
746,bkl,bkl
747,nv,nv
748,nv,nv
749,nv,nv
750,bkl,mel
751,bkl,mel
752,nv,nv
753,mel,nv
754,nv,nv
755,mel,nv
756,nv,nv
757,nv,nv
758,nv,nv
759,mel,nv
760,nv,nv
761,nv,nv
762,mel,nv
763,nv,nv
764,nv,nv
765,nv,mel
766,bkl,bkl
767,vasc,akiec
768,nv,nv
769,vasc,akiec
770,nv,nv
771,nv,bkl
772,nv,nv
773,df,nv
774,nv,nv
775,bkl,bkl
776,nv,nv
777,nv,nv
778,nv,mel
779,nv,nv
780,akiec,akiec
781,mel,nv
