,y_true,y_pred
0,3,3
1,6,5
2,3,3
3,3,3
4,6,6
5,3,3
6,5,5
7,3,3
8,2,2
9,2,2
10,3,3
11,6,6
12,3,3
13,6,6
14,6,6
15,2,2
16,5,5
17,5,5
18,3,3
19,2,2
20,6,6
21,6,6
22,5,5
23,1,1
24,6,6
25,1,1
26,1,1
27,2,2
28,3,3
29,5,5
30,3,3
31,1,1
32,3,3
33,6,6
34,5,5
35,1,1
36,1,1
37,6,6
38,5,5
39,1,1
40,2,2
41,3,3
42,3,3
43,5,5
44,3,3
45,3,3
46,6,6
47,5,3
48,3,3
49,5,5
50,2,2
51,3,3
52,1,1
53,6,6
54,6,6
55,6,6
56,3,3
57,6,6
58,6,6
59,1,1
60,3,3
61,3,3
62,6,5
63,6,6
64,7,7
65,6,6
66,3,3
67,2,2
68,2,2
69,6,5
70,1,1
71,3,3
72,5,5
73,6,6
74,6,6
75,6,6
76,6,6
77,5,5
78,3,3
79,5,6
80,2,2
81,6,6
82,7,7
83,7,7
84,3,3
85,6,6
86,7,7
87,7,7
88,6,6
89,5,5
90,6,6
91,3,3
92,6,6
93,6,6
94,5,5
95,5,5
96,3,3
97,5,5
98,2,3
99,6,6
100,5,5
101,5,5
102,3,3
103,6,6
104,3,3
105,5,5
106,6,6
107,2,2
108,5,5
109,5,5
110,5,5
111,1,1
112,5,5
113,2,2
114,5,5
115,3,3
116,3,3
117,5,5
118,5,5
119,3,3
120,1,1
121,6,6
122,1,1
123,6,6
124,3,3
125,6,6
126,5,5
127,5,6
128,7,7
129,5,5
130,6,6
131,6,6
132,5,5
133,3,3
134,2,2
135,6,6
136,5,5
137,6,6
138,6,6
139,5,5
140,3,3
141,3,5
142,5,5
143,7,7
144,5,5
145,3,3
146,3,3
147,3,3
148,3,3
149,3,3
150,3,3
151,6,6
152,6,6
153,3,3
154,3,3
155,1,1
156,4,4
157,5,5
158,6,6
159,5,5
160,3,3
161,4,4
162,6,6
163,1,1
164,3,3
165,3,3
166,5,5
167,2,2
168,4,4
169,2,2
170,3,3
171,5,5
172,3,3
173,6,5
174,2,2
175,5,5
176,2,2
177,3,3
178,5,5
179,6,6
180,3,3
181,5,5
182,6,6
183,3,3
184,3,3
185,7,7
186,7,7
187,3,3
188,6,6
189,1,1
190,2,2
191,6,6
192,6,6
193,5,5
194,2,2
195,6,6
196,3,3
197,3,3
198,4,4
199,5,5
200,3,3
201,5,5
202,5,5
203,2,2
204,3,3
205,5,5
206,3,3
207,4,4
208,1,1
209,3,3
210,5,5
211,6,5
212,2,2
213,5,5
214,2,2
215,5,5
216,7,7
217,3,3
218,5,5
219,3,3
220,3,3
221,1,1
222,6,6
223,2,2
224,3,3
225,6,6
226,6,6
227,5,5
228,3,3
229,1,1
230,2,2
231,3,3
232,3,3
233,2,2
234,6,6
235,5,5
236,6,3
237,3,3
238,6,6
239,3,3
240,6,3
241,3,3
242,5,6
243,2,2
244,3,3
245,3,3
246,5,5
247,1,1
248,6,6
249,6,6
250,4,4
251,1,1
252,5,5
253,5,5
254,3,3
255,3,3
256,6,6
257,5,5
258,5,5
259,3,3
260,3,3
261,7,7
262,5,5
263,3,3
264,6,6
265,5,5
266,5,5
267,1,1
268,3,3
269,6,6
270,5,5
271,3,3
272,2,2
273,1,1
274,3,3
275,2,2
276,6,5
277,1,1
278,1,1
279,4,4
280,6,2
281,5,5
282,5,5
283,6,6
284,5,5
285,5,5
286,1,1
287,3,3
288,5,5
289,2,2
290,5,5
291,3,3
292,5,2
293,2,2
294,5,5
295,4,4
296,2,2
297,5,3
298,5,5
299,3,3
300,3,5
301,5,5
302,1,1
303,3,3
304,2,2
305,3,3
306,6,6
307,6,6
308,5,5
309,3,3
310,6,3
311,5,3
312,2,2
313,6,6
314,6,6
315,5,5
316,5,5
317,5,5
318,5,5
319,3,3
320,4,4
321,5,5
322,1,1
323,5,5
324,6,6
325,7,7
326,7,7
327,5,5
328,3,3
329,6,6
330,5,5
331,7,7
332,6,6
333,4,4
334,3,3
335,2,2
336,2,2
337,5,3
338,6,5
339,1,1
340,6,6
341,3,3
342,6,6
343,3,6
344,1,1
345,6,6
346,6,6
347,3,3
348,4,4
349,6,6
350,2,2
351,2,2
352,6,6
353,5,5
354,3,3
355,2,2
356,5,5
357,3,3
358,1,1
359,6,3
360,5,3
361,3,3
