,y_true,y_pred
0,mel,mel
1,bcc,nv
2,bkl,bkl
3,nv,nv
4,bkl,mel
5,vasc,bkl
6,akiec,bkl
7,bcc,mel
8,mel,nv
9,bcc,mel
10,bkl,bkl
11,vasc,mel
12,akiec,bkl
13,akiec,bkl
14,mel,nv
15,akiec,mel
16,mel,akiec
17,bkl,akiec
18,nv,nv
19,bkl,bkl
20,nv,nv
21,mel,bkl
22,nv,nv
23,mel,mel
24,bkl,mel
25,nv,bkl
26,nv,nv
27,mel,mel
28,akiec,bkl
29,bcc,mel
30,mel,bcc
31,bkl,mel
32,mel,nv
33,bkl,mel
34,bkl,bkl
35,mel,mel
36,vasc,mel
37,nv,nv
38,mel,mel
39,nv,bkl
40,nv,bkl
41,bcc,mel
42,mel,bkl
43,mel,mel
44,df,df
45,vasc,vasc
46,akiec,nv
47,nv,nv
48,akiec,mel
49,bkl,nv
50,vasc,bkl
51,nv,nv
52,nv,nv
53,nv,nv
54,nv,nv
55,mel,mel
56,nv,nv
57,mel,mel
58,bcc,mel
59,akiec,mel
60,nv,nv
61,bkl,mel
62,bkl,bkl
63,nv,nv
64,mel,mel
65,bkl,nv
66,bkl,bkl
67,akiec,nv
68,akiec,mel
69,bkl,bkl
70,bkl,bkl
71,nv,nv
72,nv,mel
73,akiec,mel
74,mel,mel
75,akiec,bkl
76,nv,nv
77,bkl,mel
78,akiec,mel
79,mel,mel
80,mel,mel
81,bkl,bkl
82,df,mel
83,nv,nv
84,mel,mel
85,mel,mel
86,bkl,mel
87,mel,mel
88,bkl,bkl
89,nv,mel
90,bkl,mel
91,nv,bkl
92,bkl,mel
93,mel,mel
94,bkl,mel
95,bkl,bcc
96,nv,nv
97,nv,nv
98,nv,mel
99,bcc,mel
100,nv,nv
101,nv,bkl
102,bkl,bkl
103,vasc,bkl
104,nv,mel
105,mel,mel
106,mel,mel
107,mel,mel
108,bkl,bkl
109,nv,bkl
110,bkl,mel
111,mel,mel
112,nv,nv
113,bkl,bkl
114,bkl,bkl
115,nv,mel
116,bcc,mel
117,akiec,akiec
118,akiec,bkl
119,bkl,bkl
120,bkl,bcc
121,mel,bkl
122,bkl,bkl
123,bkl,bkl
124,bkl,nv
125,bkl,bkl
126,bcc,mel
127,bkl,bkl
128,nv,nv
129,nv,nv
130,mel,bkl
131,nv,nv
132,bcc,mel
133,nv,nv
134,mel,mel
135,mel,bkl
136,bcc,mel
137,bkl,bkl
138,nv,mel
139,mel,mel
140,mel,mel
141,mel,mel
142,akiec,nv
143,bcc,mel
144,nv,mel
145,nv,nv
146,nv,mel
147,nv,nv
148,nv,bkl
149,bkl,bkl
150,nv,bcc
151,mel,bkl
152,mel,mel
153,bkl,bkl
154,bkl,akiec
155,akiec,mel
156,nv,nv
157,vasc,bkl
158,akiec,mel
159,bkl,bkl
160,nv,nv
161,bkl,nv
162,vasc,vasc
163,mel,bkl
164,nv,nv
165,mel,bcc
166,mel,mel
167,bkl,bkl
168,mel,bkl
169,akiec,mel
170,mel,bkl
171,bcc,mel
172,bkl,bkl
173,nv,mel
174,mel,mel
175,bkl,bcc
176,mel,mel
177,nv,nv
178,bkl,bkl
179,bcc,mel
180,bcc,mel
181,nv,nv
182,bcc,mel
183,nv,nv
184,bkl,bkl
185,nv,nv
186,bkl,bkl
187,bcc,mel
188,nv,nv
189,bkl,mel
190,bkl,bkl
191,mel,mel
192,mel,mel
193,mel,mel
194,bkl,mel
195,mel,nv
196,bkl,bkl
197,bcc,nv
198,bkl,mel
199,akiec,akiec
200,mel,nv
201,nv,nv
202,bkl,mel
203,nv,mel
204,bkl,bkl
205,mel,bcc
206,nv,nv
207,bcc,bkl
208,bkl,akiec
209,mel,mel
210,bkl,bkl
211,bkl,bkl
212,nv,nv
213,mel,mel
214,mel,mel
215,nv,bkl
216,mel,mel
217,nv,mel
218,nv,mel
219,bkl,vasc
220,bkl,mel
221,nv,nv
222,bkl,mel
223,nv,nv
224,bcc,nv
225,bkl,bkl
226,bcc,bcc
227,akiec,mel
228,mel,mel
229,nv,mel
230,nv,mel
231,bcc,mel
232,bkl,bkl
233,mel,bkl
234,df,nv
235,bkl,bkl
236,bkl,bkl
237,akiec,bcc
238,bkl,bcc
239,mel,bkl
240,bkl,mel
241,mel,mel
242,mel,mel
243,mel,bkl
244,nv,nv
245,mel,bkl
246,mel,mel
247,nv,nv
248,df,bkl
249,nv,mel
250,bkl,bkl
251,nv,nv
252,nv,nv
253,nv,nv
254,bkl,bkl
255,vasc,nv
256,akiec,akiec
257,mel,mel
258,nv,nv
259,mel,bkl
260,akiec,mel
261,bcc,bkl
262,bkl,mel
263,akiec,bkl
264,nv,mel
265,bkl,df
266,vasc,bkl
267,nv,nv
268,bkl,mel
269,nv,nv
270,bkl,bkl
271,bkl,bkl
272,nv,nv
273,mel,mel
274,bkl,bkl
275,nv,nv
276,bkl,bkl
277,akiec,akiec
278,bkl,mel
279,mel,mel
280,akiec,mel
281,bkl,bkl
282,df,bkl
283,nv,nv
284,bkl,bkl
285,bcc,mel
286,bkl,bkl
287,bcc,nv
288,bkl,mel
289,vasc,nv
290,bkl,mel
291,bcc,bkl
292,bkl,bkl
293,df,nv
294,mel,bkl
295,bcc,bcc
296,akiec,mel
297,bkl,mel
298,nv,nv
299,mel,mel
300,mel,mel
301,bkl,bkl
302,bkl,bcc
303,nv,bcc
304,bkl,mel
305,bkl,mel
306,nv,mel
307,bkl,bkl
308,nv,nv
309,bcc,nv
310,bkl,nv
311,bcc,bcc
312,mel,bcc
313,mel,bcc
314,mel,mel
315,nv,nv
316,nv,nv
317,vasc,nv
318,nv,nv
319,akiec,mel
320,mel,mel
321,bkl,bkl
322,bkl,mel
323,mel,mel
324,mel,nv
325,bcc,mel
326,nv,nv
327,nv,nv
328,bkl,mel
329,vasc,bkl
330,bkl,nv
331,mel,mel
332,bkl,nv
333,bcc,mel
334,nv,nv
335,mel,akiec
336,bcc,bkl
337,mel,nv
338,bcc,bkl
339,mel,bcc
340,nv,nv
341,bkl,mel
342,nv,nv
343,bcc,bkl
344,bkl,mel
345,nv,nv
346,bcc,bcc
347,mel,mel
348,nv,nv
349,bkl,bkl
350,df,nv
351,df,df
352,nv,nv
353,nv,mel
354,bcc,bkl
355,bkl,bkl
356,mel,bcc
357,bcc,mel
358,bkl,bkl
359,bkl,bkl
360,bkl,mel
361,bcc,bcc
362,mel,bcc
363,bkl,mel
364,bcc,bcc
365,mel,mel
366,bcc,mel
367,bkl,bkl
368,mel,mel
369,mel,bkl
370,mel,mel
371,bcc,bkl
372,bkl,nv
373,bkl,bkl
374,nv,nv
375,bcc,bkl
376,nv,nv
377,bkl,mel
378,bkl,bkl
379,bkl,bkl
380,df,nv
381,bkl,bkl
382,bkl,bkl
383,mel,bkl
384,nv,nv
385,nv,bkl
386,bcc,bcc
387,nv,nv
388,bkl,bkl
389,nv,nv
390,bkl,bkl
391,nv,mel
