,y_true,y_pred
0,mel,mel
1,nv,nv
2,bkl,bkl
3,bkl,mel
4,nv,nv
5,mel,bkl
6,nv,nv
7,mel,bkl
8,nv,nv
9,mel,mel
10,nv,nv
11,mel,bkl
12,bkl,bkl
13,mel,nv
14,bkl,mel
15,nv,mel
16,nv,nv
17,mel,mel
18,bkl,nv
19,mel,bkl
20,nv,nv
21,mel,mel
22,nv,nv
23,nv,nv
24,bkl,bkl
25,bkl,bkl
26,nv,nv
27,mel,mel
28,bkl,bkl
29,nv,bkl
30,nv,nv
31,nv,nv
32,mel,nv
33,bkl,bkl
34,nv,nv
35,bkl,bkl
36,bkl,bkl
37,nv,nv
38,mel,nv
39,bkl,bkl
40,nv,bkl
41,bkl,mel
42,nv,nv
43,bkl,mel
44,bkl,bkl
45,nv,nv
46,nv,mel
47,mel,nv
48,bkl,mel
49,nv,nv
50,nv,nv
51,mel,mel
52,nv,nv
53,bkl,bkl
54,mel,mel
55,nv,nv
56,nv,nv
57,mel,mel
58,mel,bkl
59,mel,mel
60,mel,bkl
61,mel,nv
62,nv,nv
63,bkl,bkl
64,mel,mel
65,mel,bkl
66,mel,nv
67,mel,mel
68,mel,mel
69,nv,nv
70,nv,nv
71,bkl,mel
72,bkl,bkl
73,nv,nv
74,mel,nv
75,nv,mel
76,mel,bkl
77,nv,mel
78,mel,mel
79,bkl,mel
80,nv,nv
81,nv,bkl
82,bkl,bkl
83,mel,mel
84,mel,bkl
85,nv,nv
86,bkl,mel
87,mel,mel
88,mel,mel
89,mel,mel
90,nv,nv
91,bkl,mel
92,mel,mel
93,mel,bkl
94,mel,bkl
95,mel,mel
96,mel,bkl
97,nv,nv
98,mel,mel
99,bkl,mel
100,nv,nv
101,nv,nv
102,nv,nv
103,bkl,nv
104,nv,nv
105,bkl,bkl
106,mel,nv
107,bkl,mel
108,bkl,mel
109,bkl,bkl
110,nv,nv
111,nv,nv
112,bkl,bkl
113,bkl,mel
114,bkl,mel
115,bkl,nv
116,mel,mel
117,bkl,mel
118,bkl,mel
119,nv,nv
120,bkl,bkl
121,bkl,mel
122,mel,bkl
123,nv,nv
124,bkl,bkl
125,bkl,bkl
126,nv,nv
127,mel,mel
128,bkl,bkl
129,mel,mel
130,nv,bkl
131,nv,nv
132,nv,nv
133,nv,nv
134,nv,nv
135,nv,nv
136,nv,nv
137,bkl,bkl
138,nv,nv
139,mel,mel
140,mel,mel
141,bkl,mel
142,nv,nv
143,nv,nv
144,nv,nv
145,nv,bkl
146,bkl,bkl
147,bkl,bkl
148,nv,nv
149,mel,mel
150,bkl,bkl
151,bkl,bkl
152,mel,nv
153,bkl,nv
154,nv,nv
155,nv,nv
156,nv,bkl
157,mel,mel
158,nv,nv
159,nv,nv
160,mel,nv
161,bkl,mel
162,mel,mel
163,bkl,bkl
164,bkl,bkl
165,bkl,bkl
166,bkl,bkl
167,bkl,mel
168,bkl,bkl
169,bkl,bkl
170,nv,mel
171,bkl,bkl
172,nv,mel
173,bkl,mel
174,mel,mel
175,bkl,bkl
176,bkl,bkl
177,nv,nv
178,bkl,mel
179,mel,mel
180,nv,nv
181,mel,mel
182,bkl,mel
183,mel,mel
184,bkl,bkl
185,mel,bkl
186,nv,bkl
187,nv,nv
188,bkl,bkl
189,bkl,bkl
190,nv,nv
191,mel,mel
192,mel,bkl
193,bkl,bkl
194,nv,nv
195,bkl,nv
196,mel,mel
197,bkl,mel
198,bkl,nv
199,nv,nv
200,bkl,nv
201,nv,mel
202,bkl,nv
203,bkl,mel
204,bkl,nv
205,nv,nv
206,mel,mel
207,bkl,bkl
208,bkl,bkl
209,nv,bkl
210,bkl,bkl
211,mel,bkl
212,nv,nv
213,nv,nv
214,mel,mel
215,mel,mel
216,nv,nv
217,nv,bkl
218,nv,nv
219,nv,bkl
220,bkl,mel
221,nv,nv
222,bkl,bkl
223,bkl,mel
224,bkl,bkl
225,nv,nv
226,mel,nv
227,nv,bkl
228,nv,nv
229,bkl,bkl
230,bkl,mel
231,bkl,bkl
232,mel,bkl
233,bkl,bkl
234,mel,mel
235,nv,nv
236,nv,nv
237,nv,nv
238,nv,nv
239,bkl,mel
240,nv,nv
241,mel,mel
242,bkl,bkl
243,mel,mel
244,nv,nv
245,nv,nv
246,mel,mel
247,bkl,bkl
248,bkl,mel
249,mel,mel
250,mel,nv
251,bkl,mel
252,mel,nv
253,bkl,bkl
254,mel,mel
255,mel,mel
256,mel,bkl
257,nv,nv
258,bkl,bkl
259,bkl,mel
260,mel,bkl
261,bkl,bkl
262,bkl,bkl
263,mel,mel
264,nv,nv
265,mel,mel
266,nv,nv
267,mel,bkl
268,nv,bkl
269,nv,mel
270,mel,mel
271,bkl,bkl
272,nv,nv
273,mel,bkl
274,nv,bkl
275,mel,mel
276,nv,nv
277,mel,mel
278,bkl,bkl
279,nv,nv
280,nv,nv
281,bkl,bkl
282,bkl,bkl
283,bkl,mel
284,mel,mel
285,mel,mel
286,nv,nv
287,bkl,bkl
288,mel,mel
289,mel,mel
290,nv,nv
291,bkl,bkl
292,bkl,bkl
293,bkl,bkl
294,nv,nv
295,bkl,bkl
296,mel,mel
297,bkl,bkl
298,bkl,bkl
299,mel,mel
300,bkl,bkl
301,mel,mel
302,bkl,nv
303,nv,nv
304,bkl,bkl
305,mel,mel
306,mel,mel
307,nv,nv
308,nv,nv
309,nv,nv
310,bkl,mel
311,nv,nv
312,bkl,bkl
313,nv,nv
314,mel,mel
315,mel,mel
316,bkl,bkl
317,nv,nv
318,nv,nv
319,nv,nv
320,mel,mel
321,mel,bkl
322,nv,bkl
323,nv,nv
324,nv,nv
325,nv,nv
326,bkl,bkl
327,bkl,mel
328,mel,mel
329,nv,nv
330,bkl,mel
331,mel,mel
332,bkl,bkl
333,mel,mel
334,bkl,mel
335,nv,nv
336,nv,bkl
337,nv,mel
338,mel,mel
339,bkl,bkl
340,mel,mel
341,bkl,mel
342,mel,bkl
343,bkl,mel
344,mel,mel
345,mel,mel
346,bkl,mel
347,mel,mel
348,mel,bkl
349,nv,nv
350,mel,mel
351,bkl,mel
352,nv,nv
353,bkl,mel
354,bkl,bkl
355,mel,bkl
356,bkl,bkl
357,bkl,bkl
358,mel,mel
359,bkl,bkl
360,nv,nv
361,bkl,bkl
362,nv,nv
363,nv,mel
364,mel,mel
365,nv,nv
366,mel,bkl
367,bkl,mel
368,bkl,nv
369,mel,mel
370,mel,nv
371,bkl,mel
372,bkl,bkl
373,bkl,bkl
374,bkl,bkl
375,bkl,nv
376,nv,nv
377,nv,mel
378,bkl,mel
379,mel,mel
380,nv,nv
381,bkl,mel
382,nv,nv
383,mel,mel
384,bkl,bkl
385,nv,nv
386,mel,mel
387,nv,mel
388,nv,bkl
389,nv,mel
390,nv,bkl
391,bkl,bkl
392,bkl,mel
393,nv,nv
394,nv,nv
395,nv,nv
396,bkl,mel
397,nv,nv
398,bkl,bkl
399,mel,mel
400,nv,nv
401,mel,mel
402,nv,mel
403,bkl,mel
404,bkl,bkl
405,bkl,bkl
406,bkl,bkl
407,nv,nv
408,mel,nv
409,bkl,bkl
410,mel,nv
411,nv,nv
412,nv,nv
413,mel,bkl
414,bkl,mel
415,bkl,bkl
416,mel,mel
417,bkl,bkl
418,bkl,mel
419,bkl,mel
420,nv,nv
421,nv,nv
422,nv,nv
423,mel,mel
424,nv,nv
425,nv,nv
426,bkl,bkl
427,nv,mel
428,bkl,bkl
429,nv,mel
430,nv,bkl
431,mel,mel
432,nv,nv
433,bkl,nv
434,bkl,bkl
435,bkl,mel
436,mel,mel
437,nv,nv
438,mel,mel
439,bkl,nv
440,bkl,nv
441,mel,mel
442,bkl,mel
443,bkl,mel
444,mel,mel
445,nv,nv
446,mel,mel
447,bkl,bkl
448,nv,nv
449,bkl,mel
450,bkl,mel
451,bkl,bkl
452,bkl,nv
453,bkl,nv
454,bkl,bkl
455,mel,mel
456,bkl,bkl
457,bkl,mel
458,mel,bkl
459,mel,mel
460,bkl,bkl
461,bkl,bkl
462,bkl,bkl
463,bkl,bkl
464,mel,mel
465,mel,bkl
466,bkl,bkl
467,mel,mel
468,bkl,mel
469,nv,nv
470,bkl,nv
471,bkl,mel
472,nv,bkl
473,bkl,bkl
474,mel,mel
475,bkl,mel
476,mel,mel
477,bkl,nv
478,nv,nv
479,bkl,bkl
480,bkl,bkl
481,nv,mel
482,bkl,bkl
483,nv,nv
484,mel,mel
485,bkl,bkl
486,nv,bkl
487,bkl,mel
488,nv,nv
489,bkl,mel
490,nv,nv
491,mel,mel
492,bkl,bkl
493,bkl,mel
494,nv,mel
495,mel,mel
496,mel,mel
497,nv,nv
498,bkl,bkl
499,mel,mel
500,bkl,bkl
501,nv,nv
502,mel,mel
503,nv,nv
504,mel,mel
505,bkl,bkl
506,mel,mel
507,bkl,nv
508,bkl,mel
509,bkl,bkl
510,mel,bkl
511,nv,nv
512,mel,mel
513,mel,mel
514,mel,bkl
515,nv,mel
516,mel,mel
517,nv,nv
518,mel,mel
519,mel,mel
520,mel,mel
521,nv,nv
522,bkl,bkl
523,bkl,bkl
524,bkl,mel
525,mel,mel
526,bkl,bkl
527,nv,bkl
528,mel,mel
529,bkl,nv
530,bkl,nv
531,nv,mel
532,nv,nv
533,nv,nv
534,mel,mel
535,bkl,bkl
536,mel,mel
537,mel,nv
538,bkl,nv
539,bkl,bkl
540,nv,mel
541,bkl,mel
542,nv,nv
543,nv,nv
544,mel,mel
545,mel,mel
546,mel,mel
547,mel,mel
548,nv,mel
549,mel,mel
550,mel,mel
551,mel,nv
552,bkl,bkl
553,nv,mel
554,mel,nv
555,bkl,bkl
556,bkl,nv
557,nv,nv
558,mel,mel
559,mel,mel
560,nv,nv
561,mel,nv
562,mel,mel
563,bkl,nv
564,mel,mel
565,nv,mel
566,mel,bkl
567,bkl,bkl
568,bkl,bkl
569,bkl,bkl
570,mel,mel
571,nv,nv
572,mel,bkl
573,nv,mel
574,bkl,mel
575,mel,bkl
576,nv,nv
577,nv,nv
578,mel,mel
579,mel,mel
580,nv,nv
581,nv,nv
582,mel,nv
583,nv,nv
584,mel,mel
585,mel,mel
586,bkl,mel
587,nv,nv
588,bkl,mel
589,bkl,bkl
590,bkl,bkl
591,bkl,bkl
592,nv,mel
593,nv,mel
594,bkl,bkl
595,bkl,bkl
596,mel,nv
597,bkl,mel
598,nv,nv
599,nv,nv
600,nv,bkl
601,bkl,bkl
602,bkl,bkl
603,mel,mel
604,nv,nv
605,mel,nv
606,bkl,mel
607,nv,bkl
608,bkl,bkl
609,nv,nv
610,mel,mel
611,mel,mel
612,bkl,bkl
613,bkl,mel
614,mel,mel
615,mel,mel
616,bkl,mel
617,mel,bkl
618,nv,nv
619,mel,mel
620,bkl,mel
621,mel,mel
622,bkl,bkl
623,bkl,nv
624,mel,mel
625,nv,nv
626,bkl,bkl
627,bkl,mel
628,mel,mel
629,mel,mel
630,mel,bkl
631,bkl,bkl
632,bkl,bkl
633,bkl,mel
634,mel,mel
635,nv,nv
636,mel,mel
637,bkl,mel
638,mel,mel
639,bkl,bkl
640,mel,mel
641,nv,nv
642,bkl,mel
643,bkl,nv
644,nv,mel
645,bkl,bkl
646,nv,nv
647,mel,mel
648,bkl,nv
649,nv,nv
650,nv,nv
651,bkl,mel
652,bkl,mel
653,mel,nv
654,nv,nv
655,bkl,mel
656,nv,mel
657,nv,nv
658,nv,nv
659,mel,nv
660,nv,mel
661,nv,mel
662,bkl,mel
663,nv,bkl
664,mel,mel
665,bkl,bkl
666,bkl,nv
667,mel,nv
668,mel,mel
669,mel,mel
670,nv,mel
671,nv,nv
672,bkl,bkl
673,bkl,bkl
674,bkl,bkl
675,mel,nv
676,nv,nv
677,mel,mel
678,mel,mel
679,bkl,bkl
680,nv,nv
681,mel,mel
682,mel,nv
683,nv,nv
