,y_true,y_pred
0,mel,nv
1,nv,nv
2,mel,nv
3,bkl,nv
4,nv,nv
5,nv,nv
6,nv,nv
7,nv,nv
8,mel,nv
9,nv,nv
10,bkl,nv
11,bkl,nv
12,mel,nv
13,nv,nv
14,bkl,nv
15,nv,nv
16,nv,nv
17,nv,nv
18,mel,nv
19,nv,nv
20,nv,nv
21,nv,nv
22,mel,nv
23,bcc,nv
24,nv,nv
25,bkl,nv
26,nv,nv
27,mel,nv
28,nv,nv
29,nv,nv
30,nv,nv
31,nv,nv
32,nv,nv
33,bcc,nv
34,akiec,nv
35,bcc,nv
36,bkl,nv
37,nv,nv
38,nv,nv
39,mel,nv
40,nv,nv
41,nv,nv
42,mel,nv
43,nv,nv
44,bcc,nv
45,nv,nv
46,nv,nv
47,nv,nv
48,nv,nv
49,nv,nv
50,bcc,nv
51,bkl,nv
52,df,nv
53,nv,nv
54,nv,nv
55,nv,nv
56,nv,nv
57,nv,nv
58,akiec,nv
59,mel,nv
60,bkl,nv
61,bkl,nv
62,mel,nv
63,akiec,nv
64,bkl,nv
65,nv,nv
66,nv,nv
67,vasc,nv
68,nv,nv
69,nv,nv
70,nv,nv
71,nv,nv
72,nv,nv
73,vasc,nv
74,bkl,nv
75,mel,nv
76,nv,nv
77,nv,nv
78,akiec,nv
79,nv,nv
80,nv,nv
81,nv,nv
82,mel,nv
83,nv,nv
84,bcc,nv
85,nv,nv
86,nv,nv
87,nv,nv
88,nv,nv
89,nv,nv
90,nv,nv
91,nv,nv
92,bcc,nv
93,nv,nv
94,mel,nv
95,nv,nv
96,mel,nv
97,nv,nv
98,bkl,nv
99,nv,nv
100,akiec,nv
101,nv,nv
102,nv,nv
103,nv,nv
104,mel,nv
105,mel,nv
106,nv,nv
107,nv,nv
108,bkl,nv
109,bkl,nv
110,nv,nv
111,nv,nv
112,mel,nv
113,nv,nv
114,nv,nv
115,mel,nv
116,mel,nv
117,bcc,nv
118,mel,nv
119,bkl,nv
120,nv,nv
121,akiec,nv
122,akiec,nv
123,nv,nv
124,mel,nv
125,nv,nv
126,nv,nv
127,nv,nv
128,bkl,nv
129,nv,nv
130,nv,nv
131,nv,nv
132,nv,nv
133,mel,nv
134,nv,nv
135,nv,nv
136,bcc,nv
137,nv,nv
138,nv,nv
139,nv,nv
140,nv,nv
141,nv,nv
142,nv,nv
143,nv,nv
144,nv,nv
145,nv,nv
146,nv,nv
147,bkl,nv
148,nv,nv
149,mel,nv
150,nv,nv
151,bkl,nv
152,nv,nv
153,nv,nv
154,bkl,nv
155,nv,nv
156,nv,nv
157,mel,nv
158,nv,nv
159,nv,nv
160,nv,nv
161,df,nv
162,akiec,nv
163,nv,nv
164,nv,nv
165,nv,nv
166,df,nv
167,nv,nv
168,bkl,nv
169,nv,nv
170,nv,nv
171,bkl,nv
172,nv,nv
173,bkl,nv
174,nv,nv
175,vasc,nv
176,bkl,nv
177,nv,nv
178,nv,nv
179,bcc,nv
180,nv,nv
181,nv,nv
182,bkl,nv
183,nv,nv
184,nv,nv
185,nv,nv
186,nv,nv
187,nv,nv
188,nv,nv
189,nv,nv
190,nv,nv
191,bkl,nv
192,mel,nv
193,bcc,nv
194,nv,nv
195,nv,nv
196,nv,nv
197,nv,nv
198,nv,nv
199,mel,nv
200,bkl,nv
201,akiec,nv
202,nv,nv
203,nv,nv
204,nv,nv
205,bkl,nv
206,bkl,nv
207,nv,nv
208,nv,nv
209,nv,nv
210,nv,nv
211,nv,nv
212,nv,nv
213,nv,nv
214,nv,nv
215,bcc,nv
216,nv,nv
217,nv,nv
218,nv,nv
219,df,nv
220,nv,nv
221,nv,nv
222,nv,nv
223,nv,nv
224,nv,nv
225,nv,nv
226,bkl,nv
227,nv,nv
228,nv,nv
229,nv,nv
230,mel,nv
231,nv,nv
232,akiec,nv
233,nv,nv
234,nv,nv
235,nv,nv
236,nv,nv
237,nv,nv
238,nv,nv
239,bkl,nv
240,vasc,nv
241,bcc,nv
242,mel,nv
243,nv,nv
244,nv,nv
245,nv,nv
